geoid10,nhid,nhname
8001007801,283,Montview Park
8001007802,283,Montview Park
8001007900,283,Montview Park
8001008000,283,Montview Park
8001008100,283,Montview Park
8001008200,285,North Aurora
8001008308,285,North Aurora
8001008309,285,North Aurora
8001008353,285,North Aurora
8001008401,105,Northeast Adams
8001008402,105,Northeast Adams
8001008505,113,Central Northglenn
8001008506,113,Central Northglenn
8001008507,100,Wyco Park
8001008508,280,North Thornton
8001008523,200,Barr Lake State Park
8001008524,279,Todd Creek and East Thornton
8001008526,280,North Thornton
8001008529,280,North Thornton
8001008533,278,Riverdale Park and South Thornton
8001008534,278,Riverdale Park and South Thornton
8001008535,199,Central Commerce City
8001008536,200,Barr Lake State Park
8001008537,199,Central Commerce City
8001008538,200,Barr Lake State Park
8001008539,199,Central Commerce City
8001008540,279,Todd Creek and East Thornton
8001008541,279,Todd Creek and East Thornton
8001008542,108,East Brighton
8001008543,109,Benedict Park
8001008544,280,North Thornton
8001008545,280,North Thornton
8001008546,279,Todd Creek and East Thornton
8001008547,279,Todd Creek and East Thornton
8001008548,279,Todd Creek and East Thornton
8001008549,279,Todd Creek and East Thornton
8001008550,279,Todd Creek and East Thornton
8001008551,279,Todd Creek and East Thornton
8001008603,110,West Brighton
8001008604,110,West Brighton
8001008605,109,Benedict Park
8001008606,110,West Brighton
8001008705,198,South Commerce City
8001008706,198,South Commerce City
8001008709,198,South Commerce City
8001008801,197,Derby
8001008802,197,Derby
8001008901,198,South Commerce City
8001009001,277,Southwest Thornton
8001009002,101,Welby and East North Washington
8001009101,277,Southwest Thornton
8001009103,278,Riverdale Park and South Thornton
8001009104,278,Riverdale Park and South Thornton
8001009202,277,Southwest Thornton
8001009203,277,Southwest Thornton
8001009204,278,Riverdale Park and South Thornton
8001009206,278,Riverdale Park and South Thornton
8001009207,278,Riverdale Park and South Thornton
8001009304,113,Central Northglenn
8001009306,103,Federal Heights
8001009307,277,Southwest Thornton
8001009308,103,Federal Heights
8001009309,107,South Westminster
8001009310,103,Federal Heights
8001009316,103,Federal Heights
8001009318,277,Southwest Thornton
8001009319,103,Federal Heights
8001009320,103,Federal Heights
8001009321,103,Federal Heights
8001009322,281,Federal Heights North
8001009323,113,Central Northglenn
8001009325,112,Big Dry Creek
8001009326,99,North Central Westminster
8001009327,301,West Northglenn
8001009401,107,South Westminster
8001009406,106,Westminster Center Park
8001009407,107,South Westminster
8001009408,99,North Central Westminster
8001009409,99,North Central Westminster
8001009410,99,North Central Westminster
8001009411,106,Westminster Center Park
8001009501,107,South Westminster
8001009502,102,Twin Lakes
8001009553,102,Twin Lakes
8001009603,107,South Westminster
8001009604,107,South Westminster
8001009606,102,Twin Lakes
8001009607,102,Twin Lakes
8001009608,102,Twin Lakes
8001009751,102,Twin Lakes
8001009752,102,Twin Lakes
8001015000,101,Welby and East North Washington
8001060000,280,North Thornton
8001060100,111,Quail Crossing Park
8001060200,112,Big Dry Creek
8001061200,280,North Thornton
8001988700,313,Rocky Mountain Arsenal
8003960000,,
8003960100,,
8003960200,,
8003960300,,
8005004951,89,Glendale
8005004952,89,Glendale
8005005551,282,Sheridan
8005005552,282,Sheridan
8005005553,270,Littleton North
8005005611,305,Dekoevend Park
8005005612,303,Greenwood Village
8005005614,128,West Centennial
8005005619,269,Bowels Grove Park
8005005620,116,S Federal Blvd and W Belleview Ave
8005005621,79,East Columbine
8005005622,275,Southwest Littleton
8005005623,274,Central south Littleton
8005005624,274,Central south Littleton
8005005625,305,Dekoevend Park
8005005626,305,Dekoevend Park
8005005627,128,West Centennial
8005005628,128,West Centennial
8005005629,128,West Centennial
8005005630,128,West Centennial
8005005631,128,West Centennial
8005005632,128,West Centennial
8005005633,276,South Littleton
8005005634,276,South Littleton
8005005635,128,West Centennial
8005005636,303,Greenwood Village
8005005700,304,Englewood
8005005800,304,Englewood
8005005951,304,Englewood
8005005952,304,Englewood
8005006000,304,Englewood
8005006100,304,Englewood
8005006200,270,Littleton North
8005006300,304,Englewood
8005006400,304,Englewood
8005006501,271,City Hall
8005006502,272,Sterne Park and Slaughterhouse Gulch Park
8005006601,273,Northeast Littleton
8005006603,273,Northeast Littleton
8005006604,273,Northeast Littleton
8005006704,302,Cherry Hills Village
8005006705,302,Cherry Hills Village
8005006706,128,West Centennial
8005006707,128,West Centennial
8005006708,128,West Centennial
8005006709,128,West Centennial
8005006711,128,West Centennial
8005006712,303,Greenwood Village
8005006713,303,Greenwood Village
8005006808,125,Cherry Creek Reservoir
8005006815,122,Centennial Airport
8005006854,125,Cherry Creek Reservoir
8005006855,126,Northeast Centennial
8005006856,122,Centennial Airport
8005006857,125,Cherry Creek Reservoir
8005006858,122,Centennial Airport
8005007101,115,East Arapaphoe
8005007103,115,East Arapaphoe
8005007104,129,Southeast Aurora
8005007105,288,Central East Aurora
8005007106,129,Southeast Aurora
8005007107,155,Heritage Eagle Bend
8005007201,152,Exposition Park and Aurora Hills
8005007202,284,Delmar Parkway
8005007301,284,Delmar Parkway
8005007302,284,Delmar Parkway
8005007400,284,Delmar Parkway
8005007500,284,Delmar Parkway
8005007600,284,Delmar Parkway
8005007702,152,Exposition Park and Aurora Hills
8005007703,152,Exposition Park and Aurora Hills
8005007704,152,Exposition Park and Aurora Hills
8005015100,83,Holly Hills
8005080000,152,Exposition Park and Aurora Hills
8005080100,152,Exposition Park and Aurora Hills
8005080200,153,Utah Park
8005080300,153,Utah Park
8005080400,153,Utah Park
8005080500,153,Utah Park
8005080600,153,Utah Park
8005080700,153,Utah Park
8005080800,152,Exposition Park and Aurora Hills
8005080900,152,Exposition Park and Aurora Hills
8005081000,152,Exposition Park and Aurora Hills
8005081100,152,Exposition Park and Aurora Hills
8005081200,153,Utah Park
8005081300,153,Utah Park
8005081400,153,Utah Park
8005081500,154,Olympic Park
8005081600,154,Olympic Park
8005081700,154,Olympic Park
8005081800,287,Chambers Heights and Laredo Highline
8005081900,91,Laredo Highline
8005082000,152,Exposition Park and Aurora Hills
8005082100,152,Exposition Park and Aurora Hills
8005082200,153,Utah Park
8005082300,154,Olympic Park
8005082400,154,Olympic Park
8005082500,154,Olympic Park
8005082600,152,Exposition Park and Aurora Hills
8005082700,298,Aurora Highlands and Side Creek
8005082800,298,Aurora Highlands and Side Creek
8005082900,298,Aurora Highlands and Side Creek
8005083000,151,Conservatory
8005083100,154,Olympic Park
8005083200,126,Northeast Centennial
8005083300,154,Olympic Park
8005083400,154,Olympic Park
8005083500,154,Olympic Park
8005083600,125,Cherry Creek Reservoir
8005083700,126,Northeast Centennial
8005083800,154,Olympic Park
8005083900,154,Olympic Park
8005084000,150,Mission Viejo
8005084100,156,Summer Valley Park
8005084200,156,Summer Valley Park
8005084300,156,Summer Valley Park
8005084400,156,Summer Valley Park
8005084500,154,Olympic Park
8005084600,154,Olympic Park
8005084700,150,Mission Viejo
8005084800,126,Northeast Centennial
8005084900,154,Olympic Park
8005085000,126,Northeast Centennial
8005085100,126,Northeast Centennial
8005085200,126,Northeast Centennial
8005085300,155,Heritage Eagle Bend
8005085400,126,Northeast Centennial
8005085500,126,Northeast Centennial
8005085600,126,Northeast Centennial
8005085700,156,Summer Valley Park
8005085800,126,Northeast Centennial
8005085900,126,Northeast Centennial
8005086000,155,Heritage Eagle Bend
8005086100,155,Heritage Eagle Bend
8005086200,126,Northeast Centennial
8005086300,122,Centennial Airport
8005086400,127,Southeast Centennial
8005086500,155,Heritage Eagle Bend
8005086600,155,Heritage Eagle Bend
8005086700,155,Heritage Eagle Bend
8005086800,86,Sullivan
8005086900,86,Sullivan
8005087000,153,Utah Park
8005087100,153,Utah Park
8005087200,86,Sullivan
8005087300,86,Sullivan
8007940400,,
8007974200,,
8007974300,,
8007974400,,
8009964600,,
8009964700,,
8011966700,,
8013012101,308,Mapleton Hill
8013012102,311,Old North Boulder
8013012103,157,Wonderland
8013012104,157,Wonderland
8013012105,157,Wonderland
8013012201,307,Flatirons and Grant
8013012202,309,Whittier(Boulder County)
8013012203,185,Kings Ridge
8013012204,309,Whittier(Boulder County)
8013012300,179,CU Main Campus
8013012401,310,University Hills(Boulder County)
8013012501,184,Southeast Boulder
8013012505,306,Chautauqua
8013012507,165,Martin Acres
8013012508,165,Martin Acres
8013012509,306,Chautauqua
8013012510,178,Nederland and Boulder Mountain Park
8013012511,184,Southeast Boulder
8013012603,184,Southeast Boulder
8013012605,180,CU East Campus
8013012607,184,Southeast Boulder
8013012608,184,Southeast Boulder
8013012701,181,West Boulder including Ward and Jamestown
8013012705,187,Gunbarrel
8013012707,177,Boulder Municipal Airport
8013012708,187,Gunbarrel
8013012709,187,Gunbarrel
8013012710,164,Louisville
8013012800,160,West Erie
8013012903,163,Lafayette
8013012904,163,Lafayette
8013012905,162,Southeast Lafayette and Rock Creek Farm Park
8013012907,163,Lafayette
8013013003,164,Louisville
8013013004,164,Louisville
8013013005,164,Louisville
8013013006,164,Louisville
8013013201,175,Longs Peak
8013013202,181,West Boulder including Ward and Jamestown
8013013205,159,Niwot
8013013207,188,McIntosh Park
8013013208,188,McIntosh Park
8013013210,168,Kamemoto Park
8013013211,176,Standley Hill
8013013212,167,Willow Creek Park
8013013213,158,Southwest Longmont
8013013302,182,Roosevelt Park and Sunset Park
8013013305,172,Garden Acres Park
8013013306,171,Clark Centennial Park
8013013307,171,Clark Centennial Park
8013013308,171,Clark Centennial Park
8013013401,171,Clark Centennial Park
8013013402,171,Clark Centennial Park
8013013503,171,Clark Centennial Park
8013013505,171,Clark Centennial Park
8013013506,170,Rough & Ready Park and Stephen Day Park
8013013507,171,Clark Centennial Park
8013013508,170,Rough & Ready Park and Stephen Day Park
8013013601,174,Lyons and Rabbit Mountain
8013013602,173,Rocky Mountain National Park and Northwest Boulder
8013013701,181,West Boulder including Ward and Jamestown
8013013702,178,Nederland and Boulder Mountain Park
8013060600,165,Martin Acres
8013060700,164,Louisville
8013060800,162,Southeast Lafayette and Rock Creek Farm Park
8013060900,163,Lafayette
8013061300,165,Martin Acres
8013061400,165,Martin Acres
8014030000,192,Lac Amora Park and Zangs Spur Park
8014030100,193,Central West Broomfield
8014030200,192,Lac Amora Park and Zangs Spur Park
8014030300,189,Southeast Broomfield
8014030400,194,Central North Broomfield
8014030500,194,Central North Broomfield
8014030600,196,Northeast Broomfield
8014030700,189,Southeast Broomfield
8014030800,189,Southeast Broomfield
8014030900,193,Central West Broomfield
8014031000,196,Northeast Broomfield
8014031100,247,Southwest Broomfield
8014031200,192,Lac Amora Park and Zangs Spur Park
8014031300,196,Northeast Broomfield
8014031400,196,Northeast Broomfield
8014980100,163,Lafayette
8014980200,162,Southeast Lafayette and Rock Creek Farm Park
8014980300,164,Louisville
8015000100,,
8015000200,,
8015000300,,
8015000401,,
8015000402,,
8017960600,,
8019014700,,
8019014800,,
8019014900,,
8021974800,,
8021974900,,
8023972600,,
8023972700,,
8025969600,,
8027970100,,
8029964600,,
8029964700,,
8029964800,,
8029964900,,
8029965000,,
8029965100,,
8029965200,,
8031000102,8,Berkeley
8031000201,11,Chaffee Park
8031000202,62,Sunnyside
8031000301,8,Berkeley
8031000302,75,West Highland
8031000303,75,West Highland
8031000401,62,Sunnyside
8031000402,36,Highland
8031000501,56,Sloan Lake
8031000502,56,Sloan Lake
8031000600,39,Jefferson Park
8031000701,74,West Colfax
8031000702,74,West Colfax
8031000800,61,Sun Valley
8031000902,5,Barnum West
8031000903,4,Barnum
8031000904,68,Villa Park
8031000905,68,Villa Park
8031001000,67,Valverde
8031001101,62,Sunnyside
8031001102,36,Highland
8031001301,1,Athmar Park
8031001302,1,Athmar Park
8031001401,54,Ruby Hill
8031001402,54,Ruby Hill
8031001403,50,Overland
8031001500,29,Globeville
8031001600,26,Five Points
8031001701,63,Union Station
8031001702,10,CBD
8031001800,41,Lincoln Park
8031001901,41,Lincoln Park
8031001902,2,Auraria
8031002000,16,Civic Center
8031002100,3,Baker
8031002300,77,Whittier
8031002402,26,Five Points
8031002403,26,Five Points
8031002601,47,North Capitol Hill
8031002602,47,North Capitol Hill
8031002701,9,Capitol Hill
8031002702,9,Capitol Hill
8031002703,9,Capitol Hill
8031002801,59,Speer
8031002802,59,Speer
8031002803,59,Speer
8031002901,71,Washington Park West
8031002902,71,Washington Park West
8031003001,51,Platt Park
8031003002,53,Rosedale
8031003003,64,University
8031003004,64,University
8031003101,15,City Park West
8031003102,15,City Park West
8031003201,12,Cheesman Park
8031003202,12,Cheesman Park
8031003203,22,Country Club
8031003300,20,Congress Park
8031003401,70,Washington Park
8031003402,70,Washington Park
8031003500,25,Elyria Swansea
8031003601,18,Cole
8031003602,17,Clayton
8031003603,55,Skyland
8031003701,14,City Park
8031003702,20,Congress Park
8031003703,20,Congress Park
8031003800,13,Cherry Creek
8031003901,7,Belcaro
8031003902,21,Cory - Merrill
8031004002,73,Wellshire
8031004003,65,University Hills
8031004004,58,Southmoor Park
8031004005,66,University Park
8031004006,66,University Park
8031004101,49,Northeast Park Hill
8031004102,49,Northeast Park Hill
8031004103,48,North Park Hill
8031004104,48,North Park Hill
8031004106,60,Stapleton
8031004107,60,Stapleton
8031004201,57,South Park Hill
8031004202,57,South Park Hill
8031004301,31,Hale
8031004302,31,Hale
8031004303,37,Hilltop
8031004304,46,Montclair
8031004306,37,Hilltop
8031004403,24,East Colfax
8031004404,24,East Colfax
8031004405,42,Lowry Field
8031004503,76,Westwood
8031004504,76,Westwood
8031004505,76,Westwood
8031004506,76,Westwood
8031004601,43,Mar Lee
8031004602,43,Mar Lee
8031004603,34,Harvey Park
8031004700,34,Harvey Park
8031004801,35,Harvey Park South
8031005001,72,Washington Virginia Vale
8031005002,72,Washington Virginia Vale
8031005102,69,Virginia Village
8031005104,69,Virginia Village
8031005200,69,Virginia Village
8031005300,65,University Hills
8031005502,27,Fort Logan
8031005503,27,Fort Logan
8031006701,58,Southmoor Park
8031006804,33,Hampden South
8031006809,33,Hampden South
8031006810,33,Hampden South
8031006811,32,Hampden
8031006812,32,Hampden
8031006813,32,Hampden
