"","nbhd","gradrate","grad.perc","cmasprof","cmas.perc","schoolquality"
"1","Alder-Three Sisters Park",0.960586309920911,0.884615384615385,55.3666666666667,0.772727272727273,0.828671328671329
"2","Allendale",0.918424092029614,0.644230769230769,40.3416666666667,0.527272727272727,0.585751748251748
"3","Arvada Center",0.829547325242279,0.413461538461538,17.2,0.0590909090909091,0.236276223776224
"4","Athmar Park",0.926616065781151,0.721153846153846,27.2008333333333,0.263636363636364,0.492395104895105
"5","Baker",0.954167302184486,0.836538461538462,37.4333333333333,0.45,0.643269230769231
"6","Bear Valley",0.869294216689804,0.461538461538462,23.34,0.172727272727273,0.317132867132867
"7","Benedict Park, Central Brighton",0.715822058450602,0.269230769230769,23.6033333333333,0.181818181818182,0.225524475524476
"8","Berrian Mountain",0.942658743752365,0.788461538461538,56.7222222222222,0.813636363636364,0.801048951048951
"9","Big Dry Creek",0.924370210867204,0.701923076923077,29.4416666666667,0.3,0.500961538461538
"10","Capitol Hill",0.46046327493459,0.0961538461538462,32.1675324675325,0.354545454545455,0.22534965034965
"11","Centennial Airport",0.577628412411389,0.182692307692308,47.154,0.645454545454546,0.414073426573427
"12","Central Commerce City",0.885865288879799,0.538461538461538,35.05,0.413636363636364,0.476048951048951
"13","Central East Aurora",0.842125679606292,0.442307692307692,24.4916666666667,0.209090909090909,0.325699300699301
"14","Central Northglenn",0.595793906485028,0.201923076923077,22.7820875420875,0.159090909090909,0.180506993006993
"15","Central south Littleton",0.919533170250683,0.663461538461538,64.1583333333333,0.909090909090909,0.786276223776224
"16","Central West Broomfield",0.967371391386901,0.932692307692308,48.425,0.668181818181818,0.800437062937063
"17","Charles Whitlock Rec Park and Morse Park",0.448863636363636,0.0865384615384615,20.375,0.113636363636364,0.100087412587413
"18","Chautauqua, Table Mesa, and Devil's Thumb",0.985195559816172,0.980769230769231,65.5276666666667,0.922727272727273,0.951748251748252
"19","Cherry Creek Reservoir",0.956616280483548,0.865384615384615,61.1041666666667,0.872727272727273,0.869055944055944
"20","City Park",0.938304557207596,0.759615384615385,38.8875,0.486363636363636,0.62298951048951
"21","City Park West",0.533084759958574,0.134615384615385,NA,NA,0.134615384615385
"22","Civic Center",0.367128669649677,0.0384615384615385,NA,NA,0.0384615384615385
"23","Clark Centennial Park",0.881599091320584,0.528846153846154,38.1013247863248,0.481818181818182,0.505332167832168
"24","Clayton",0.923293982685997,0.692307692307692,23.6505555555556,0.186363636363636,0.439335664335664
"25","Clement Park",0.920872314319079,0.682692307692308,60.375,0.863636363636364,0.773164335664336
"26","Dekoevend Park",0.95436796035825,0.846153846153846,47.1583333333333,0.65,0.748076923076923
"27","Delmar Parkway, Jewell Heights, and Hoffman Heights",0.556756395472811,0.163461538461538,16.3297619047619,0.0454545454545455,0.104458041958042
"28","East Arapaphoe",0.948595935008978,0.817307692307692,37.4708333333333,0.454545454545455,0.635926573426573
"29","East central Englewood",0.763267930634041,0.317307692307692,25.2954421768707,0.231818181818182,0.274562937062937
"30","East Old Golden RD",0.413392614209751,0.0769230769230769,29.865,0.309090909090909,0.193006993006993
"31","Exposition Park and Aurora Hills",0.89752350948314,0.605769230769231,23.3006462585034,0.168181818181818,0.386975524475524
"32","Glover, Plum Creek Fairway and Crystal Valley Ranch",0.588288125729753,0.192307692307692,19.825,0.1,0.146153846153846
"33","Green Valley Ranch",0.796851780729856,0.375,29.7491323953824,0.304545454545455,0.339772727272727
"34","Gunbarrel Area",0.380118098868098,0.0576923076923077,55.5,0.781818181818182,0.419755244755245
"35","Hackberry Hill",0.877178587344028,0.509615384615385,40.25,0.522727272727273,0.516171328671329
"36","Harvey Park",0.805269666104348,0.384615384615385,24.1944444444444,0.2,0.292307692307692
"37","Harvey Park South",0.667225909033622,0.25,32.7956349206349,0.377272727272727,0.313636363636364
"38","Hayden Green Mountain Park",0.61743225923693,0.221153846153846,51.0355357142857,0.704545454545455,0.46284965034965
"39","Heritage Eagle Bend",0.924866304888253,0.711538461538462,55.4010582010582,0.777272727272727,0.744405594405594
"40","Heritage Hills and Stonegate",0.730887758529906,0.298076923076923,41.2854166666667,0.545454545454545,0.421765734265734
"41","Highland",0.641839809924109,0.240384615384615,33.6248484848485,0.381818181818182,0.311101398601399
"42","Highlands",0.975035547511752,0.971153846153846,55.2083333333333,0.768181818181818,0.869667832167832
"43","Highlands Ranch East",0.8760645117156,0.490384615384615,55.5010601577909,0.786363636363636,0.638374125874126
"44","Highlands Ranch West",0.962349405331747,0.894230769230769,50.1055952380952,0.686363636363636,0.790297202797203
"45","Hine Lake, Powderhorn Park and Westbury Park",0.939511516564469,0.769230769230769,50.0590773809524,0.681818181818182,0.725524475524476
"46","Jefferson Park",0.869637754718399,0.471153846153846,33.6666666666667,0.386363636363636,0.428758741258741
"47","Kamemoto Park",0.50285774316526,0.125,36.444387755102,0.436363636363636,0.280681818181818
"48","Ken Caryl Ranch",0.892810914423099,0.576923076923077,60.310202991453,0.859090909090909,0.718006993006993
"49","Lac Amora Park and Zangs Spur Park",0.919842689414786,0.673076923076923,54.9733333333333,0.763636363636364,0.718356643356643
"50","Lakota Hills, Golden Proper",0.908110799470022,0.634615384615385,51.2058943833944,0.718181818181818,0.676398601398601
"51","Laredo Highline",0.76984030584339,0.336538461538462,16.0666666666667,0.0318181818181818,0.184178321678322
"52","Lemon Gulch",0.959983554023418,0.875,31.6166666666667,0.331818181818182,0.603409090909091
"53","Lincoln Park",0.535816624787957,0.144230769230769,24.9685714285714,0.227272727272727,0.185751748251748
"54","Long Lake Ranch Park and North Table Mountain",0.891451719576719,0.567307692307692,54.16625,0.745454545454545,0.656381118881119
"55","Louisville and Southeast Boulder Valley",0.810354553214961,0.394230769230769,60.6961881868132,0.868181818181818,0.631206293706294
"56","Lyons and Rabbit Mountain",0.962996031746032,0.913461538461538,59.8416666666667,0.854545454545454,0.884003496503496
"57","Mar Lee",0.725303659210532,0.278846153846154,27.9319444444444,0.277272727272727,0.278059440559441
"58","Montbello",0.837971689413599,0.432692307692308,18.097742733457,0.0681818181818182,0.250437062937063
"59","Mount Carbon Park and Westgate",0.986225815266154,0.990384615384615,50.1854166666667,0.690909090909091,0.840646853146853
"60","Nederland and Boulder Mountain Park",0.878215187590187,0.519230769230769,45.325,0.613636363636364,0.566433566433566
"61","North Capitol Hill",0.172567152120949,0.0192307692307692,45.9166666666667,0.627272727272727,0.323251748251748
"62","North Central Westminster",0.968421052631578,0.951923076923077,45.3988095238095,0.618181818181818,0.785052447552448
"63","North Park Hill",0.870392685098117,0.480769230769231,39.16875,0.504545454545455,0.492657342657343
"64","North Thornton",0.679684384902628,0.259615384615385,46.2207142857143,0.631818181818182,0.445716783216783
"65","Northeast Adams",0.890116207699039,0.557692307692308,34.5119047619048,0.4,0.478846153846154
"66","Northeast Broomfield",0.955134187780282,0.855769230769231,43.6464285714286,0.559090909090909,0.70743006993007
"67","Northeast Lakewood",0.833441300976607,0.423076923076923,21.8307142857143,0.136363636363636,0.27972027972028
"68","Northwest Lakewood",0.730209515491337,0.288461538461538,32.6855303030303,0.372727272727273,0.330594405594406
"69","Northwest Sheridan",0.600872525348527,0.211538461538462,10.3,0.00454545454545455,0.108041958041958
"70","Okane Park, Washington Heights Park",0.273616476285271,0.0288461538461538,40.0323412698413,0.513636363636364,0.271241258741259
"71","Olympic Park",0.889355389824206,0.548076923076923,34.6255952380952,0.409090909090909,0.478583916083916
"72","Pinery Park",0.967509526479718,0.942307692307692,44.6273148148148,0.595454545454545,0.768881118881119
"73","Pomona",0.918560156333365,0.653846153846154,31.7666666666667,0.340909090909091,0.497377622377622
"74","Red Hawk and Solitude Colorado",0.943098801414146,0.798076923076923,40.9726282051282,0.540909090909091,0.669493006993007
"75","Rocky Mountain Arsenal",0.814162331656071,0.403846153846154,18.65,0.0818181818181818,0.242832167832168
"76","Skyland",0.619518466573164,0.230769230769231,31.11,0.322727272727273,0.276748251748252
"77","South Commerce City",0.476529435792025,0.115384615384615,22.7062169312169,0.154545454545455,0.134965034965035
"78","South Lakewood",0.929750625530672,0.730769230769231,37.9213095238095,0.477272727272727,0.604020979020979
"79","South Park Hill",0.990371801261888,1,65.3277777777778,0.918181818181818,0.959090909090909
"80","South Westminster",0.406514039890179,0.0673076923076923,26.4363203463203,0.240909090909091,0.154108391608392
"81","Southeast Aurora",0.47598454435528,0.105769230769231,39.5208333333333,0.509090909090909,0.30743006993007
"82","Southeast Centennial",0.946255157162406,0.807692307692308,56.35,0.804545454545455,0.806118881118881
"83","Southeast Lafayette and Rock Creek Farm Park",0.791318619381393,0.365384615384615,37.865,0.472727272727273,0.419055944055944
"84","Southmoor Park",0.89373368947837,0.586538461538462,45.5666666666667,0.622727272727273,0.604632867132867
"85","Southwest Thornton",0.787438108405097,0.355769230769231,18.568295995671,0.0772727272727273,0.216520979020979
"86","Stapleton",0.940641509915673,0.778846153846154,58.1383333333333,0.831818181818182,0.805332167832168
"87","Sunnyside",0.542344463558619,0.153846153846154,21.1125,0.131818181818182,0.142832167832168
"88","Todd Creek and East Thornton",0.962593590183963,0.903846153846154,42.6148148148148,0.55,0.726923076923077
"89","Twin Lakes, Berkely, and West North Washington",0.76647831698231,0.326923076923077,20.1906957328386,0.109090909090909,0.218006993006993
"90","University Hills(Boulder County)",0.903015396299365,0.625,43.9416666666667,0.563636363636364,0.594318181818182
"91","Utah Park",0.774058767424898,0.346153846153846,23.8756385281385,0.190909090909091,0.268531468531469
"92","Valverde",0.368604269293924,0.0480769230769231,NA,NA,0.0480769230769231
"93","Van Aredale and Harvest",0.966995560202189,0.923076923076923,56.7333333333333,0.818181818181818,0.870629370629371
"94","Walnut Grove, Westbrook, Countryside and Crownpoint",0.894604090227368,0.596153846153846,44.525,0.586363636363636,0.591258741258741
"95","Washington Park",0.876472275786718,0.5,48.1479166666667,0.663636363636364,0.581818181818182
"96","Washington Virginia Vale",0.902879466358542,0.615384615384615,37.2145833333333,0.440909090909091,0.528146853146853
"97","West Boulder including Ward and Jamestown",0.932858683369806,0.75,40.22,0.518181818181818,0.634090909090909
"98","West Colfax",0.124967473328129,0.00961538461538462,18.4416666666667,0.0727272727272727,0.0411713286713287
"99","West Greenwood Village",0.865280656995379,0.451923076923077,45.05,0.604545454545454,0.528234265734266
"100","West Niwot",0.953126280960756,0.826923076923077,57.6291666666667,0.827272727272727,0.827097902097902
"101","Westwood",0.562014299036669,0.173076923076923,16.2471428571429,0.0363636363636364,0.10472027972028
"102","Whittier(Boulder County)",0.973683508974067,0.961538461538462,50.05,0.677272727272727,0.819405594405594
"103","Whittier(Denver County)",0.744110576923077,0.307692307692308,24.7875,0.222727272727273,0.26520979020979
"104","Wyco Park, Northeast Northglenn",0.931818181818181,0.740384615384615,53.7733333333333,0.731818181818182,0.736101398601399
"105","Alta Vista and Memorial Park",NA,NA,25.6285714285714,0.236363636363636,0.236363636363636
"106","Applewood, Echo Hill, Rolling Hills and Meadows",NA,NA,64.1229166666667,0.904545454545455,0.904545454545455
"107","Aurora Highlands and Side Creek",NA,NA,16.3142857142857,0.0409090909090909,0.0409090909090909
"108","Barnum",NA,NA,12.9166666666667,0.0227272727272727,0.0227272727272727
"109","Barnum West",NA,NA,24.15,0.195454545454545,0.195454545454545
"110","Barr Lake State Park",NA,NA,44.2,0.572727272727273,0.572727272727273
"111","Bell Park",NA,NA,69.1238095238095,0.95,0.95
"112","Berkeley",NA,NA,32.55,0.363636363636364,0.363636363636364
"113","Bowels Grove Park",NA,NA,47.8583333333333,0.654545454545455,0.654545454545455
"114","Castle Pines North",NA,NA,55.8912202380952,0.8,0.8
"115","Castlewood Ranch",NA,NA,38.8875,0.490909090909091,0.490909090909091
"116","Central North Broomfield",NA,NA,57.5722222222222,0.822727272727273,0.822727272727273
"117","Chaffee Park",NA,NA,16.3666666666667,0.05,0.05
"118","Chambers Heights and Laredo Highline",NA,NA,23.0190476190476,0.163636363636364,0.163636363636364
"119","Cherry Creek",NA,NA,75.0333333333333,0.981818181818182,0.981818181818182
"120","Cherry Hills Village Area",NA,NA,80.0666666666667,0.990909090909091,0.990909090909091
"121","Clubcrest",NA,NA,55.6625,0.790909090909091,0.790909090909091
"122","Cole",NA,NA,22.3144444444444,0.140909090909091,0.140909090909091
"123","College View",NA,NA,34.12,0.390909090909091,0.390909090909091
"124","Congress Park",NA,NA,59.4833333333333,0.85,0.85
"125","Conservatory",NA,NA,46.7083333333333,0.636363636363636,0.636363636363636
"126","Continental Divide Raceway, Dawson Butte and True Mountain",NA,NA,43.1333333333333,0.554545454545455,0.554545454545455
"127","Cory-Merrill",NA,NA,61.1055555555556,0.877272727272727,0.877272727272727
"128","Country Club",NA,NA,26.8571428571429,0.25,0.25
"129","Derby, Southeast Thornton, and Southwest Commerce City",NA,NA,11.43,0.0136363636363636,0.0136363636363636
"130","Dover Square Park",NA,NA,26.68,0.245454545454545,0.245454545454545
"131","East Brighton",NA,NA,37.7975524475524,0.468181818181818,0.468181818181818
"132","East Colfax",NA,NA,19.65,0.0954545454545455,0.0954545454545455
"133","East Columbine",NA,NA,74.0333333333333,0.977272727272727,0.977272727272727
"134","East Roxborough Park",NA,NA,35.7625,0.418181818181818,0.418181818181818
"135","Elk Meadow Park",NA,NA,36.0666666666667,0.431818181818182,0.431818181818182
"136","Elyria Swansea",NA,NA,13.2,0.0272727272727273,0.0272727272727273
"137","Far Horizons",NA,NA,22.3333333333333,0.145454545454545,0.145454545454545
"138","Federal Heights Federal Heights and Sherrelwood",NA,NA,22.4227777777778,0.15,0.15
"139","Five Points",NA,NA,69.7916666666667,0.959090909090909,0.959090909090909
"140","Flatirons and Grant",NA,NA,54.1,0.740909090909091,0.740909090909091
"141","Fort Logan",NA,NA,27,0.259090909090909,0.259090909090909
"142","Fruitdale, Kipling and I-70 & Clearcreek",NA,NA,24.5352092352092,0.213636363636364,0.213636363636364
"143","Garden Acres Park",NA,NA,27.9,0.268181818181818,0.268181818181818
"144","Genesee Park",NA,NA,70.6041666666667,0.963636363636364,0.963636363636364
"145","Globeville",NA,NA,24.2833333333333,0.204545454545455,0.204545454545455
"146","Golden Gate Canyon and Coal Creek Canyon",NA,NA,61.5125,0.886363636363636,0.886363636363636
"147","Goldsmith",NA,NA,53.2333333333333,0.727272727272727,0.727272727272727
"148","Hale",NA,NA,37.475,0.459090909090909,0.459090909090909
"149","Hampden",NA,NA,30.6944444444444,0.318181818181818,0.318181818181818
"150","Hampden South",NA,NA,44.35,0.581818181818182,0.581818181818182
"151","Harriman Lake, Weaver Hollow Park and Blue Heron Park",NA,NA,52.7125,0.722727272727273,0.722727272727273
"152","Highlands Ranch Southeast",NA,NA,58.7025,0.836363636363636,0.836363636363636
"153","Highlands, Prkway, Wood Creek and Hackbrhl",NA,NA,20.7375,0.118181818181818,0.118181818181818
"154","Hilltop",NA,NA,62.0008333333333,0.890909090909091,0.890909090909091
"155","Holly Hills",NA,NA,32.4,0.359090909090909,0.359090909090909
"156","Homestead Park and Columbine",NA,NA,19.90625,0.104545454545455,0.104545454545455
"157","Indian Creek",NA,NA,50.95,0.7,0.7
"158","Lake Arbor",NA,NA,31.65,0.336363636363636,0.336363636363636
"159","Larmar Heights",NA,NA,26.9,0.254545454545455,0.254545454545455
"160","Littleton North",NA,NA,17.7181818181818,0.0636363636363636,0.0636363636363636
"161","Lowry Field",NA,NA,38.9166666666667,0.495454545454545,0.495454545454545
"162","Mapleton Hill, Newlands, and Juniper / Kalmia",NA,NA,72.1,0.968181818181818,0.968181818181818
"163","Marston",NA,NA,29.1333333333333,0.295454545454545,0.295454545454545
"164","Martin Acres, Majestic Heights, and Superior",NA,NA,66.7292582417582,0.931818181818182,0.931818181818182
"165","McIntosh Park",NA,NA,54.2083333333333,0.75,0.75
"166","Mission Viejo",NA,NA,35.7833333333333,0.422727272727273,0.422727272727273
"167","Mitchell Culch Park",NA,NA,30.475,0.313636363636364,0.313636363636364
"168","Montclair",NA,NA,31.55,0.327272727272727,0.327272727272727
"169","Montview Park",NA,NA,11.075,0.00909090909090909,0.00909090909090909
"170","Mount Falcon Canyon Park",NA,NA,82.1833333333333,0.995454545454545,0.995454545454545
"171","North Aurora",NA,NA,16.5765,0.0545454545454545,0.0545454545454545
"172","North StandleyLake Open Space Park",NA,NA,54.5525,0.759090909090909,0.759090909090909
"173","Northeast Centennial",NA,NA,53.9736996336996,0.736363636363636,0.736363636363636
"174","Northeast Littleton",NA,NA,40.4690476190476,0.531818181818182,0.531818181818182
"175","Northeast Park Hill",NA,NA,11.6,0.0181818181818182,0.0181818181818182
"176","Northeast Parker",NA,NA,45.2398901098901,0.609090909090909,0.609090909090909
"177","Northwest Arvada",NA,NA,40.8960544217687,0.536363636363636,0.536363636363636
"178","Oakhurst Park, Sherwood Park",NA,NA,44.6099074074074,0.590909090909091,0.590909090909091
"179","Old North Boulder",NA,NA,32.0607142857143,0.345454545454545,0.345454545454545
"180","Parker North and Parker Heights",NA,NA,48.06875,0.659090909090909,0.659090909090909
"181","Platte Park",NA,NA,34.1333333333333,0.395454545454545,0.395454545454545
"182","Quail Crossing Park",NA,NA,46.9666666666667,0.640909090909091,0.640909090909091
"183","Ralston",NA,NA,62.24,0.895454545454546,0.895454545454546
"184","Riverdale Park and South Thornton",NA,NA,28.265,0.286363636363636,0.286363636363636
"185","Roosevelt Park and Sunset Park",NA,NA,20.922,0.127272727272727,0.127272727272727
"186","Rough & Ready Park and Stephen Day Park",NA,NA,43.9428571428571,0.568181818181818,0.568181818181818
"187","Ruby Hill",NA,NA,28.3916666666667,0.290909090909091,0.290909090909091
"188","Scenic Heights",NA,NA,32.0875,0.35,0.35
"189","Sierra Vista",NA,NA,59.2375,0.840909090909091,0.840909090909091
"190","Skiline, Arvada Plaza and Terrace Park",NA,NA,23.4276785714286,0.177272727272727,0.177272727272727
"191","Sloans Lake",NA,NA,24.6011111111111,0.218181818181818,0.218181818181818
"192","South Littleton",NA,NA,65.2,0.913636363636364,0.913636363636364
"193","South Marston Lake",NA,NA,54.537,0.754545454545455,0.754545454545455
"194","South Standley Lake",NA,NA,35.925,0.427272727272727,0.427272727272727
"195","Southeast Boulder",NA,NA,68.8047619047619,0.945454545454545,0.945454545454545
"196","Southeast Broomfield",NA,NA,51.1458333333333,0.713636363636364,0.713636363636364
"197","Southeast Lafayette",NA,NA,50.871875,0.695454545454545,0.695454545454545
"198","Southwest Longmont",NA,NA,61.2135416666667,0.881818181818182,0.881818181818182
"199","Southwest Standley Lake",NA,NA,37.6125,0.463636363636364,0.463636363636364
"200","Speer",NA,NA,69.4011904761905,0.954545454545455,0.954545454545455
"201","Sullivan",NA,NA,88.3083333333333,1,1
"202","Summer Valley Park",NA,NA,37.3877976190476,0.445454545454545,0.445454545454545
"203","Sun Valley",NA,NA,19.05,0.0863636363636364,0.0863636363636364
"204","University",NA,NA,56.5166666666667,0.809090909090909,0.809090909090909
"205","University Hills(Denver County)",NA,NA,59.3833333333333,0.845454545454545,0.845454545454545
"206","University Park",NA,NA,67.45,0.936363636363636,0.936363636363636
"207","Villa Park",NA,NA,20.8875,0.122727272727273,0.122727272727273
"208","Virginia Village",NA,NA,38.9380952380952,0.5,0.5
"209","Washington Park West",NA,NA,44.3088888888889,0.577272727272727,0.577272727272727
"210","Wayside Meadows Park",NA,NA,51.0950892857143,0.709090909090909,0.709090909090909
"211","Welby and East North Washington",NA,NA,28.2410714285714,0.281818181818182,0.281818181818182
"212","Wellshire",NA,NA,80.0083333333333,0.986363636363636,0.986363636363636
"213","West Brighton",NA,NA,27.9092857142857,0.272727272727273,0.272727272727273
"214","West Centennial",NA,NA,62.9869444444444,0.9,0.9
"215","West Erie",NA,NA,55.8583333333333,0.795454545454545,0.795454545454545
"216","West Highland",NA,NA,34.5425925925926,0.404545454545455,0.404545454545455
"217","West Northglenn",NA,NA,32.6666666666667,0.368181818181818,0.368181818181818
"218","West Pike National Forest",NA,NA,66.5,0.927272727272727,0.927272727272727
"219","Westminster Center Park",NA,NA,19.0983333333333,0.0909090909090909,0.0909090909090909
"220","Westwoods Park",NA,NA,73.525,0.972727272727273,0.972727272727273
"221","Whisper Creek",NA,NA,68.075,0.940909090909091,0.940909090909091
"222","Wonderland, Boulder Meadows, and Catalpa Park",NA,NA,44.8039682539683,0.6,0.6
"223","Yankee Doodle Park, Ralston Vally and Apex",NA,NA,50,0.672727272727273,0.672727272727273
